# P90_CSV_VERSION=1.0
EndOfPeriodUTC (dd/mm/yyyy HH:mm),SolarAzimuth (degrees),SolarZenith (degrees),AmbientTemp (celsius),DHI (W/m2),GHI (W/m2),DNI (W/m2),WS (m/s),Tilt (degrees)
07/04/1990 07:00,0.0,0.0,18.749993896484398,10.800000190734863,20.649999618530273,73.31999969482422,4.210000038146973,0.0
07/04/1990 08:00,0.0,0.0,18.459985351562523,0.0,0.0,0.0,3.930000066757202,0.0
07/04/1990 09:00,0.0,0.0,18.439996337890648,0.0,0.0,0.0,4.070000171661377,0.0
07/04/1990 10:00,0.0,0.0,18.149987792968773,0.0,0.0,0.0,3.450000047683716,0.0
07/04/1990 11:00,0.0,0.0,17.980004882812523,0.0,0.0,0.0,2.9700000286102295,0.0
07/04/1990 12:00,0.0,0.0,17.670007324218773,0.0,0.0,0.0,2.2799999713897705,0.0
07/04/1990 13:00,0.0,0.0,17.890008544921898,0.0,0.0,0.0,1.7200000286102295,0.0
07/04/1990 14:00,0.0,0.0,17.850000000000023,0.0,0.0,0.0,1.309999942779541,0.0
07/04/1990 15:00,0.0,0.0,17.820001220703148,0.0,0.0,0.0,0.6200000047683716,0.0
07/04/1990 16:00,0.0,0.0,17.679986572265648,0.0,0.0,0.0,0.6899999976158142,0.0
07/04/1990 17:00,0.0,0.0,17.570001220703148,0.0,0.0,0.0,1.2400000095367432,0.0
07/04/1990 18:00,0.0,0.0,17.439996337890648,0.0,0.0,0.0,1.309999942779541,0.0
07/04/1990 19:00,0.0,0.0,17.330010986328148,0.0,0.0,0.0,2.0,0.0
07/04/1990 20:00,0.0,0.0,17.110009765625023,0.0,0.0,0.0,2.2799999713897705,0.0
07/04/1990 21:00,0.0,0.0,16.600000000000023,45.150001525878906,46.0,5.590000152587891,2.690000057220459,0.0
07/04/1990 22:00,0.0,0.0,17.320001220703148,89.5999984741211,110.19999694824219,58.88999938964844,2.8299999237060547,0.0
07/04/1990 23:00,0.0,0.0,17.510003662109398,97.4000015258789,108.30000305175781,21.010000228881836,2.690000057220459,0.0
08/04/1990 00:00,0.0,0.0,17.580010986328148,137.5,153.25,24.450000762939453,2.759999990463257,0.0
08/04/1990 01:00,0.0,0.0,17.529992675781273,166.3000030517578,226.75,83.5,3.0999999046325684,0.0
08/04/1990 02:00,0.0,0.0,18.059991455078148,179.10000610351562,202.75,31.559999465942383,3.7200000286102295,0.0
08/04/1990 03:00,0.0,0.0,18.059991455078148,204.8000030517578,256.1499938964844,71.44999694824219,3.7200000286102295,0.0
08/04/1990 04:00,0.0,0.0,18.360009765625023,138.9499969482422,158.9499969482422,31.540000915527344,4.0,0.0
08/04/1990 05:00,0.0,0.0,18.360009765625023,131.4499969482422,153.35000610351562,43.70000076293945,4.340000152587891,0.0
08/04/1990 06:00,0.0,0.0,18.339990234375023,76.44999694824219,93.6500015258789,52.27000045776367,4.480000019073486,0.0
08/04/1990 07:00,0.0,0.0,18.709985351562523,9.100000381469727,9.949999809265137,6.559999942779541,4.760000228881836,0.0
08/04/1990 08:00,0.0,0.0,18.850000000000023,0.0,0.0,0.0,4.619999885559082,0.0
08/04/1990 09:00,0.0,0.0,19.110009765625023,0.0,0.0,0.0,4.690000057220459,0.0
08/04/1990 10:00,0.0,0.0,18.869989013671898,0.0,0.0,0.0,3.930000066757202,0.0
08/04/1990 11:00,0.0,0.0,18.809991455078148,0.0,0.0,0.0,4.0,0.0
08/04/1990 12:00,0.0,0.0,18.629998779296898,0.0,0.0,0.0,4.0,0.0
08/04/1990 13:00,0.0,0.0,18.589990234375023,0.0,0.0,0.0,4.210000038146973,0.0
08/04/1990 14:00,0.0,0.0,18.559991455078148,0.0,0.0,0.0,4.550000190734863,0.0
08/04/1990 15:00,0.0,0.0,18.580010986328148,0.0,0.0,0.0,4.550000190734863,0.0
08/04/1990 16:00,0.0,0.0,18.529992675781273,0.0,0.0,0.0,4.340000152587891,0.0
08/04/1990 17:00,0.0,0.0,18.360009765625023,0.0,0.0,0.0,4.340000152587891,0.0
08/04/1990 18:00,0.0,0.0,18.330010986328148,0.0,0.0,0.0,4.409999847412109,0.0
08/04/1990 19:00,0.0,0.0,18.240014648437523,0.0,0.0,0.0,4.28000020980835,0.0
08/04/1990 20:00,0.0,0.0,17.879998779296898,0.0,0.0,0.0,4.070000171661377,0.0
08/04/1990 21:00,0.0,0.0,17.610009765625023,76.0,120.5999984741211,298.80999755859375,3.859999895095825,0.0
08/04/1990 22:00,0.0,0.0,18.110009765625023,119.30000305175781,282.1000061035156,469.5299987792969,3.6600000858306885,0.0
08/04/1990 23:00,0.0,0.0,18.339990234375023,160.75,401.54998779296875,467.07000732421875,3.5899999141693115,0.0
09/04/1990 00:00,0.0,0.0,18.980004882812523,180.25,509.75,514.4299926757812,3.5199999809265137,0.0
09/04/1990 01:00,0.0,0.0,19.320001220703148,168.0500030517578,577.0499877929688,568.0900268554688,3.450000047683716,0.0
09/04/1990 02:00,0.0,0.0,19.779992675781273,130.25,565.9500122070312,584.780029296875,3.0999999046325684,0.0
